speaker,affliation,photoTakenBy,recordedOn,duration,headerTitle,title,introduction
Norman Friedman,,Robert Rowen,"February 7, 2020",1 hour and 39 mins,Winning a Future War:,War Gaming and Victory in the Pacific,
James F. Dunnigan,,Fandom,"October 12-13, 2018",5 hours and 19 mins,Wargaming,A 2-day Conference,
